City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Broome,US,2021-11-04 03:43:04,42.2506,-75.833,34.36,76,1,3.0
121,Jawhar,SO,2021-11-04 03:43:05,2.7809,45.5005,77.09,75,62,5.23
122,Bluff,NZ,2021-11-04 03:43:05,-46.6,168.3333,63.81,58,80,5.26
123,Kargasok,RU,2021-11-04 03:43:05,59.0556,80.8572,15.31,66,100,14.09
124,Qaanaaq,GL,2021-11-04 03:43:06,77.484,-69.3632,4.78,57,0,8.95
125,Bethel,US,2021-11-04 03:40:50,41.3712,-73.414,44.19,79,1,0.0
126,Roma,US,2021-11-04 03:42:01,43.2128,-75.4557,35.74,93,90,0.0
127,Valparaiso,CL,2021-11-04 03:42:57,-33.0393,-71.6273,56.84,82,20,2.3
128,Ancud,CL,2021-11-04 03:43:07,-41.8697,-73.8203,44.13,73,36,9.35
129,Tasiilaq,GL,2021-11-04 03:43:07,65.6145,-37.6368,32.16,61,28,7.94
130,Vardo,NO,2021-11-04 03:43:07,70.3705,31.1107,39.4,92,100,14.7
131,Gurupa,BR,2021-11-04 03:43:08,-1.405,-51.64,74.14,94,90,3.09
132,Sitka,US,2021-11-04 03:39:16,57.0531,-135.33,44.49,81,90,9.22
133,Coquimbo,CL,2021-11-04 03:43:08,-29.9533,-71.3436,53.33,87,0,0.0
134,Arraial Do Cabo,BR,2021-11-04 03:43:08,-22.9661,-42.0278,71.17,91,100,4.99
135,Sept-Iles,CA,2021-11-04 03:43:09,50.2001,-66.3821,35.06,81,1,3.0
136,Castro,BR,2021-11-04 03:44:09,-24.7911,-50.0119,63.37,80,96,2.62
137,Vila Franca Do Campo,PT,2021-11-04 03:44:09,37.7167,-25.4333,68.2,86,100,12.84
138,Tuktoyaktuk,CA,2021-11-04 03:44:10,69.4541,-133.0374,14.0,92,75,10.36
139,Lolodorf,CM,2021-11-04 03:44:10,3.2333,10.7333,68.63,99,100,1.57
140,Cidreira,BR,2021-11-04 03:44:10,-30.1811,-50.2056,67.46,97,44,13.0
141,Te Anau,NZ,2021-11-04 03:44:11,-45.4167,167.7167,66.63,46,4,3.38
142,Sinnamary,GF,2021-11-04 03:44:11,5.3833,-52.95,78.71,82,94,9.26
143,Nouadhibou,MR,2021-11-04 03:44:11,20.931,-17.0347,69.49,74,64,15.35
144,Fortuna,US,2021-11-04 03:43:56,40.5982,-124.1573,64.09,71,90,3.0
145,Tuatapere,NZ,2021-11-04 03:44:12,-46.1333,167.6833,63.82,56,32,7.78
146,Gat,IL,2021-11-04 03:44:12,31.61,34.7642,64.81,84,1,5.7
147,Saskylakh,RU,2021-11-04 03:44:13,71.9167,114.0833,2.53,84,100,15.21
148,Erdenet,MN,2021-11-04 03:41:18,49.0333,104.0833,12.27,77,100,11.65
149,Comodoro Rivadavia,AR,2021-11-04 03:44:13,-45.8667,-67.5,53.46,37,0,21.85
150,Pevek,RU,2021-11-04 03:44:13,69.7008,170.3133,-14.15,98,34,6.78
151,Upington,ZA,2021-11-04 03:44:14,-28.4478,21.2561,55.78,50,0,4.61
152,Luganville,VU,2021-11-04 03:44:14,-15.5333,167.1667,79.41,82,100,7.25
153,Zinder,NE,2021-11-04 03:44:15,13.8072,8.9881,79.43,21,5,7.05
154,Saint-Philippe,RE,2021-11-04 03:44:15,-21.3585,55.7679,78.48,72,4,10.45
155,Honningsvag,NO,2021-11-04 03:44:15,70.9821,25.9704,37.58,82,100,16.2
156,Sangar,RU,2021-11-04 03:44:16,63.9242,127.4739,18.55,93,100,6.82
157,Hilo,US,2021-11-04 03:43:31,19.7297,-155.09,78.53,80,75,4.61
158,Severo-Kurilsk,RU,2021-11-04 03:44:16,50.6789,156.125,38.93,74,56,5.59
159,Mar Del Plata,AR,2021-11-04 03:40:12,-38.0023,-57.5575,65.08,100,90,1.01
160,Victoria,HK,2021-11-04 03:40:00,22.2855,114.1577,82.45,80,94,3.0
161,Chapais,CA,2021-11-04 03:44:17,49.7834,-74.8492,24.58,96,82,4.43
162,Villarrica,PY,2021-11-04 03:44:17,-25.75,-56.4333,72.84,83,42,2.93
163,Tautira,PF,2021-11-04 03:44:17,-17.7333,-149.15,82.42,81,16,17.09
164,Nanortalik,GL,2021-11-04 03:44:18,60.1432,-45.2371,37.89,89,100,5.46
