City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Negrar,IT,45.5288,10.938,49.46,100,40,2.3,light rain
150,Mount Gambier,AU,-37.8333,140.7667,62.51,51,90,8.05,overcast clouds
151,Okahandja,NA,-21.9833,16.9167,61.83,28,52,9.42,broken clouds
152,Chapeco,BR,-27.0964,-52.6183,69.55,78,0,6.91,clear sky
153,Labuan,MY,5.2767,115.2417,88.16,70,20,3.0,few clouds
154,Mahebourg,MU,-20.4081,57.7,79.25,78,75,10.36,broken clouds
155,Yellowknife,CA,62.456,-114.3525,25.41,99,90,5.75,light snow
156,Morbach,DE,49.8167,7.1167,39.7,94,40,5.75,scattered clouds
157,Tura,IN,25.5198,90.2201,78.22,49,66,0.31,broken clouds
158,Itarema,BR,-2.9248,-39.9167,77.63,85,86,6.78,overcast clouds
159,Mondlo,ZA,-27.983,30.7177,68.27,63,100,11.34,overcast clouds
160,Margate,GB,51.3813,1.3862,43.7,87,91,12.44,overcast clouds
161,Gorontalo,ID,0.5412,123.0595,85.01,82,92,2.26,overcast clouds
162,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,78,31,10.45,scattered clouds
163,Chokurdakh,RU,70.6333,147.9167,-16.02,95,86,6.08,overcast clouds
164,Coari,BR,-4.085,-63.1414,73.17,90,98,0.49,overcast clouds
165,Fauske,NO,67.2588,15.3918,28.44,81,3,5.39,clear sky
166,Sorland,NO,67.667,12.6934,32.07,55,98,15.21,overcast clouds
167,Yerofey Pavlovich,RU,53.9667,121.9667,21.18,48,0,3.04,clear sky
168,Fairbanks,US,64.8378,-147.7164,25.21,89,90,0.0,light snow
169,Izhma,RU,65.0083,53.9113,22.89,92,86,4.27,overcast clouds
170,Takoradi,GH,4.8845,-1.7554,77.94,89,81,6.67,broken clouds
171,Alofi,NU,-19.0595,-169.9187,76.89,83,90,9.22,light intensity shower rain
172,Cap Malheureux,MU,-19.9842,57.6142,79.47,73,20,11.01,few clouds
173,Hilo,US,19.7297,-155.09,80.28,82,90,6.91,overcast clouds
174,Victoria,HK,22.2855,114.1577,71.33,58,28,1.99,scattered clouds
175,Clyde River,CA,70.4692,-68.5914,10.72,91,50,11.43,scattered clouds
176,Puerto Ayora,EC,-0.7393,-90.3518,69.21,82,33,7.49,scattered clouds
177,Hastings,GB,50.8552,0.5729,44.24,85,91,8.19,overcast clouds
178,Cusset,FR,46.13,3.4596,46.74,92,100,5.12,overcast clouds
179,Shingu,JP,33.7333,135.9833,74.39,73,50,19.13,scattered clouds
180,Jacareacanga,BR,-6.2222,-57.7528,72.1,90,85,0.56,overcast clouds
181,Arlit,NE,18.7369,7.3853,74.46,15,56,6.82,broken clouds
182,Rio Grande,BR,-32.035,-52.0986,51.94,78,1,3.47,clear sky
183,Huntingdon,GB,52.3305,-0.1865,40.78,92,79,1.01,broken clouds
184,Aurangabad,IN,19.8833,75.3333,77.09,57,20,0.0,haze
185,Barrow,US,71.2906,-156.7887,24.82,68,90,12.66,overcast clouds
186,Darnah,LY,32.767,22.6367,65.55,82,83,9.64,broken clouds
187,Pacifica,US,37.6138,-122.4869,54.72,77,40,1.99,scattered clouds
188,Beringovskiy,RU,63.05,179.3167,14.36,95,52,5.79,broken clouds
189,Ancud,CL,-41.8697,-73.8203,53.42,94,94,2.73,overcast clouds
190,Marienburg,PL,54.0359,19.0266,49.05,73,73,9.78,broken clouds
191,Souillac,MU,-20.5167,57.5167,79.36,78,75,10.36,broken clouds
192,Grindavik,IS,63.8424,-22.4338,41.47,93,90,35.68,overcast clouds
193,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,40,12.66,scattered clouds
194,Caucaia,BR,-3.7361,-38.6531,81.03,76,40,10.36,scattered clouds
195,Pangody,RU,65.85,74.4859,21.27,92,100,10.76,overcast clouds
