City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Sao Gabriel Da Cachoeira,BR,72.77,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
69,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
73,Hobart,AU,65.12,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
76,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
77,Minab,IR,74.7,clear sky,27.1467,57.0801,Bam campground
78,Mataura,NZ,67.06,overcast clouds,-46.1927,168.8643,Ellie's Villa
84,Muroto,JP,71.64,light rain,33.2833,134.15,Oota Ryokan
86,Acapulco,MX,77.63,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
89,Ankazoabo,MG,83.39,scattered clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
92,Bengkulu,ID,84.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
96,Tomatlan,MX,72.7,few clouds,19.9333,-105.25,El Salvial
97,Barabai,ID,80.31,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
100,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
101,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
104,Ixtapa,MX,73.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
105,Mackay,AU,87.78,scattered clouds,-21.15,149.2,International Lodge Motel
108,Lindi,TZ,82.81,broken clouds,-10.0,39.7167,Lindi paradise house
113,Japura,ID,91.94,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
115,Pandan,PH,82.51,overcast clouds,14.0453,124.1694,Bonifacio Lodge
117,Mandurah,AU,80.17,broken clouds,-32.55,115.7,Atrium Hotel Mandurah
118,Sete Lagoas,BR,68.32,overcast clouds,-19.4658,-44.2467,Sete Lagoas Residence Hotel Centro de Convenções
119,Faanui,PF,79.3,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
123,Sillod,IN,76.6,overcast clouds,20.3,75.65,पवन
125,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
126,Pundaguitan,PH,84.36,clear sky,6.3711,126.1689,Leonardo Family Beach House 1
127,Hervey Bay,AU,80.71,light rain,-25.2986,152.8535,Shelly Bay Resort
128,San Policarpo,PH,84.24,overcast clouds,12.1791,125.5072,Agapita M. Nicart
130,Bilma,NE,72.12,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
133,Namwala,ZM,78.17,clear sky,-15.7504,26.4384,Corner Point Lodge
134,Tarakan,ID,80.1,heavy intensity rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
136,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
